Frame,Class,Confidence,x1,y1,x2,y2
1,b,0.29,2927,956,3028,1003
1,j,0.37,0,434,498,1383
1,j,0.37,2295,279,2900,1049
1,j,0.43,801,524,1293,898
1,b,0.48,1011,1310,1071,1367
1,b,0.48,1097,1295,1158,1366
1,b,0.53,702,961,815,1059
1,b,0.53,904,752,1141,856
1,b,0.57,2685,397,2805,474
1,b,0.59,1149,1213,1202,1275
1,j,0.65,2091,1251,2692,1887
1,b,0.66,2124,1251,2181,1317
1,b,0.72,2295,1284,2372,1355
1,b,0.83,799,926,875,985
1,b,0.88,851,849,974,963
1,b,0.91,2077,971,2160,1022
1,b,0.96,2734,1240,2797,1300
1,j,0.98,976,1216,1447,1593
1,b,0.99,2237,1340,2316,1408
1,b,1.00,1600,1251,1706,1329
2,b,0.25,1299,918,1348,966
2,b,0.27,691,1201,756,1288
2,j,0.36,1721,993,2236,1610
2,b,0.40,1926,1034,1988,1100
2,b,0.48,789,1171,852,1238
2,b,0.53,3187,1431,3293,1523
2,j,0.53,208,525,833,951
2,b,0.63,304,1039,411,1099
2,b,0.65,351,874,507,998
2,b,0.67,662,1281,734,1341
2,b,0.68,1887,1081,1951,1146
2,j,0.73,593,1564,1118,1958
2,j,0.75,1106,1728,1964,2141
2,b,0.83,758,1251,826,1327
2,b,0.89,2275,990,2328,1042
2,b,0.90,2120,1713,2288,1868
2,j,0.91,634,1162,1126,1544
2,b,0.98,1267,1170,1374,1239
